count,prob_bare,prob_built,prob_crops,prob_flooded,prob_grass,prob_shrub,prob_trees,prob_water,area_bare,lon,lat
0,0.03892408883966114,0.02126123681854543,0.02923226072086821,0.04426429580827649,0.02483727449512084,0.03428592846487439,0.04640139663309416,0.7270173467931159,292845.7469269033,153.57690757388724,-28.955816833496804
1,0.03980217391521731,0.02098191292678422,0.02963862841239518,0.04395260090903472,0.02475907862298664,0.03506839551295978,0.04661111310560346,0.7242325489509029,292845.74692547705,153.58211030802588,-28.95581683349719
0,0.04064978124604454,0.02082725581007991,0.02963704398792452,0.0438637985692721,0.02473040712573452,0.0348851537636282,0.0468958931263768,0.725099196934108,292845.7469272658,153.58731304207842,-28.955816833510944
0,0.03834256053544341,0.02113238713210781,0.02894264663643084,0.04437466121564149,0.02480401387106708,0.03353721785769965,0.04607246977654068,0.7301174379904437,292860.4590066537,153.571704839688,-28.95061409927035
0,0.03889006763621364,0.02123899313577543,0.02906366680358541,0.04433386003029357,0.02485954013682986,0.03413243043181402,0.04630691895231648,0.7286221955804791,292860.4590064671,153.57690757387667,-28.950614099295787
0,0.03932816988877835,0.02100118953736943,0.02927215742346012,0.04403243273564192,0.02477760048734712,0.03441840742701153,0.04653662463717976,0.7270172200034287,292860.45900519134,153.58211030800123,-28.95061409932238
0,0.04031596229625742,0.02077486630570732,0.02950229188499279,0.04383533679977645,0.02473520055154196,0.03464783870254008,0.04678954612173498,0.7258454429660532,292860.45900682744,153.5873130421025,-28.950614099309032
0,0.04120857148237902,0.02069541886289786,0.02975163355551424,0.04377638298769359,0.02473597888155317,0.03508872243417369,0.04686626164983935,0.7242498801573202,292860.4590068644,153.59251577626156,-28.950614099310464
0,0.04225621383582704,0.0206427790965423,0.03011771261538178,0.04351788854188528,0.02472571442309875,0.03582240452045141,0.04723583900741519,0.7203212447819913,292860.45900645084,153.59771851041327,-28.950614099312848
0,0.04334117518558892,0.02052023907548016,0.03023365092266132,0.04334458630217849,0.02472466690996565,0.03679439790501116,0.04770189393572746,0.7156012553144764,292860.45900684246,153.60292124451033,-28.950614099275114
0,0.03777222158067436,0.02109944585915556,0.02876610281072665,0.04476095300027612,0.02473896839597928,0.03311925985104252,0.04551215976116195,0.7309075108674209,292875.1686710455,153.56129937146397,-28.9454113650612
0,0.03751744293511,0.02129259543948567,0.02892440048209766,0.04431847277340941,0.02477652839720125,0.03328651277219768,0.04568222231104411,0.7311450430743534,292875.1686726191,153.56650210561634,-28.945411365071866
0,0.03837373462506839,0.02125365087284031,0.02898960149023398,0.04437554160311074,0.02474486055959007,0.03377073585681044,0.04578030157313652,0.7302858827841411,292875.1686711639,153.57170483968238,-28.945411365098895
0,0.03911365585356022,0.02136227945781487,0.02920373397636454,0.04448647511378149,0.02485827349022646,0.03428692993934123,0.04627327567135987,0.727836521580328,292875.16867099126,153.57690757387294,-28.945411365080595
0,0.03921912501824348,0.02125267993018523,0.02918513526458846,0.04403391794257908,0.0248387087054819,0.03437196964991297,0.04653927841664305,0.7274592883613985,292875.1686693781,153.5821103079997,-28.945411365058025
0,0.03952230007855147,0.02097427100109785,0.02935178304921297,0.04399841886734953,0.02472224936690696,0.03406556801044875,0.04628867413501492,0.7282066363348917,292875.1686714004,153.58731304209397,-28.945411365079114
0,0.04063531763976964,0.02064732142797267,0.02949215298781567,0.04396860836490975,0.0246413092934719,0.03439204553254076,0.04675018566475637,0.726230221624092,292875.16867112025,153.5925157762643,-28.94541136508213
0,0.0417005790230034,0.02060249022866833,0.02984009400012981,0.04368410247613712,0.02472760088120624,0.03536255165411248,0.04691659501032535,0.7221323292656615,292875.1686708422,153.5977185104182,-28.94541136507389
0,0.04254558089484862,0.0205773033405658,0.03007203199004382,0.04337870700244756,0.02467506402048624,0.03624968689263055,0.04742467586987914,0.7173058762864146,292875.1686713947,153.6029212445354,-28.945411365088674
0,0.0443396060170941,0.02060311086613456,0.03031230528607332,0.04307800578138833,0.02474756998120207,0.03712296943361874,0.04808789453947346,0.7128214605314755,292875.16867108503,153.60812397859715,-28.94541136507838
0,0.04436129657355366,0.02055461875306704,0.03049437106294772,0.04307321792001468,0.02472001757821916,0.03743144165339846,0.04824203180407398,0.7121576732534151,292875.1686709804,153.61332671283367,-28.945411365063446
0,0.03727420547436265,0.0214216497408133,0.02836812500299112,0.04555968698177107,0.02481709406543051,0.03215529456082811,0.04505626385421478,0.7345260314120278,292889.87592041586,153.55609663731764,-28.940208631037354
0,0.03732339368421509,0.02118544175268768,0.0284851333781794,0.04507554289761782,0.02474933230077092,0.03258686946917088,0.04535415529267613,0.7339414910158146,292889.8759205666,153.56129937144024,-28.94020863106583
0,0.03753211956761989,0.02137048095884004,0.02869930578589209,0.04488983340498374,0.02479979202853131,0.03327917244944844,0.04561454113471792,0.7308067321308017,292889.87592203857,153.5665021056105,-28.94020863107782
0,0.03778537535225139,0.02124370770104603,0.02887791583069316,0.04431085065585324,0.02484214948290096,0.03355858499675665,0.04557845781829231,0.7302431587595473,292889.87592034164,153.5717048396677,-28.940208631066508
0,0.03885145596831998,0.0212177407548945,0.02900470887945651,0.04444829591096319,0.02483566875015834,0.03412499270638149,0.04597792211102376,0.7287483319235275,292889.8759204867,153.5769075738942,-28.9402086310798
0,0.03887272834133293,0.02129369925399766,0.02897536222630963,0.04446018796770864,0.0248027219829567,0.03420777489852336,0.04620205845921656,0.7282916055402963,292889.87591893715,153.58211030799427,-28.94020863109026
