Y,prob_bare,prob_built,prob_crops,prob_flooded,prob_grass,prob_shrub,prob_trees,prob_water,lon,lat
0,0.03892408883966114,0.02126123681854543,0.02923226072086821,0.04426429580827649,0.02483727449512084,0.03428592846487439,0.04640139663309416,0.7270173467931159,153.5763873004384,-28.95633710361404
0.011318262876555543,0.03980217391521731,0.02098191292678422,0.02963862841239518,0.04395260090903472,0.02475907862298664,0.03506839551295978,0.04661111310560346,0.7242325489509029,153.581590034574,-28.95633710361404
0,0.04064978124604454,0.02082725581007991,0.02963704398792452,0.0438637985692721,0.02473040712573452,0.0348851537636282,0.0468958931263768,0.725099196934108,153.586792768709,-28.95633710361404
0,0.03834256053544341,0.02113238713210781,0.02894264663643084,0.04437466121564149,0.02480401387106708,0.03353721785769965,0.04607246977654068,0.7301174379904437,153.571184566303,-28.95113436947868
0,0.03889006763621364,0.02123899313577543,0.02906366680358541,0.04433386003029357,0.02485954013682986,0.03413243043181402,0.04630691895231648,0.7286221955804791,153.5763873004384,-28.95113436947868
0,0.03932816988877835,0.02100118953736943,0.02927215742346012,0.04403243273564192,0.02477760048734712,0.03441840742701153,0.04653662463717976,0.7270172200034287,153.581590034574,-28.95113436947868
0,0.04031596229625742,0.02077486630570732,0.02950229188499279,0.04383533679977645,0.02473520055154196,0.03464783870254008,0.04678954612173498,0.7258454429660532,153.586792768709,-28.95113436947868
0,0.04120857148237902,0.02069541886289786,0.02975163355551424,0.04377638298769359,0.02473597888155317,0.03508872243417369,0.04686626164983935,0.7242498801573202,153.59199550284438,-28.95113436947868
0,0.04225621383582704,0.0206427790965423,0.03011771261538178,0.04351788854188528,0.02472571442309875,0.03582240452045141,0.04723583900741519,0.7203212447819913,153.59719823698,-28.95113436947868
0,0.04334117518558892,0.02052023907548016,0.03023365092266132,0.04334458630217849,0.02472466690996565,0.03679439790501116,0.04770189393572746,0.7156012553144764,153.602400971115,-28.95113436947868
0,0.03777222158067436,0.02109944585915556,0.02876610281072665,0.04476095300027612,0.02473896839597928,0.03311925985104252,0.04551215976116195,0.7309075108674209,153.56077909803238,-28.94593163534338
0,0.03751744293511,0.02129259543948567,0.02892440048209766,0.04431847277340941,0.02477652839720125,0.03328651277219768,0.04568222231104411,0.7311450430743534,153.565981832168,-28.94593163534338
0,0.03837373462506839,0.02125365087284031,0.02898960149023398,0.04437554160311074,0.02474486055959007,0.03377073585681044,0.04578030157313652,0.7302858827841411,153.571184566303,-28.94593163534338
0,0.03911365585356022,0.02136227945781487,0.02920373397636454,0.04448647511378149,0.02485827349022646,0.03428692993934123,0.04627327567135987,0.727836521580328,153.5763873004384,-28.94593163534338
0,0.03921912501824348,0.02125267993018523,0.02918513526458846,0.04403391794257908,0.0248387087054819,0.03437196964991297,0.04653927841664305,0.7274592883613985,153.581590034574,-28.94593163534338
0,0.03952230007855147,0.02097427100109785,0.02935178304921297,0.04399841886734953,0.02472224936690696,0.03406556801044875,0.04628867413501492,0.7282066363348917,153.586792768709,-28.94593163534338
0,0.04063531763976964,0.02064732142797267,0.02949215298781567,0.04396860836490975,0.0246413092934719,0.03439204553254076,0.04675018566475637,0.726230221624092,153.59199550284438,-28.94593163534338
0,0.0417005790230034,0.02060249022866833,0.02984009400012981,0.04368410247613712,0.02472760088120624,0.03536255165411248,0.04691659501032535,0.7221323292656615,153.59719823698,-28.94593163534338
0,0.04254558089484862,0.0205773033405658,0.03007203199004382,0.04337870700244756,0.02467506402048624,0.03624968689263055,0.04742467586987914,0.7173058762864146,153.602400971115,-28.94593163534338
0,0.0443396060170941,0.02060311086613456,0.03031230528607332,0.04307800578138833,0.02474756998120207,0.03712296943361874,0.04808789453947346,0.7128214605314755,153.6076037052504,-28.94593163534338
0,0.04436129657355366,0.02055461875306704,0.03049437106294772,0.04307321792001468,0.02472001757821916,0.03743144165339846,0.04824203180407398,0.7121576732534151,153.612806439386,-28.94593163534338
0,0.03727420547436265,0.0214216497408133,0.02836812500299112,0.04555968698177107,0.02481709406543051,0.03215529456082811,0.04505626385421478,0.7345260314120278,153.555576363897,-28.94072890120804
0,0.03732339368421509,0.02118544175268768,0.0284851333781794,0.04507554289761782,0.02474933230077092,0.03258686946917088,0.04535415529267613,0.7339414910158146,153.56077909803238,-28.94072890120804
0,0.03753211956761989,0.02137048095884004,0.02869930578589209,0.04488983340498374,0.02479979202853131,0.03327917244944844,0.04561454113471792,0.7308067321308017,153.565981832168,-28.94072890120804
0,0.03778537535225139,0.02124370770104603,0.02887791583069316,0.04431085065585324,0.02484214948290096,0.03355858499675665,0.04557845781829231,0.7302431587595473,153.571184566303,-28.94072890120804
0,0.03885145596831998,0.0212177407548945,0.02900470887945651,0.04444829591096319,0.02483566875015834,0.03412499270638149,0.04597792211102376,0.7287483319235275,153.5763873004384,-28.94072890120804
0,0.03887272834133293,0.02129369925399766,0.02897536222630963,0.04446018796770864,0.0248027219829567,0.03420777489852336,0.04620205845921656,0.7282916055402963,153.581590034574,-28.94072890120804
0,0.03922738362444349,0.02124629719585751,0.02931901632949073,0.04417854396236364,0.02479090420802643,0.03434460243352479,0.04629599699747062,0.7262472872162475,153.586792768709,-28.94072890120804
0,0.04006126345524936,0.02119310728712715,0.02937569058363953,0.04403470020467631,0.02478313535968188,0.03397767254914619,0.04625206256207074,0.7281519469270528,153.59199550284438,-28.94072890120804
0,0.0405523223748464,0.0208313465925404,0.02960308090097332,0.04374365825202183,0.02470466001310788,0.03422606999663168,0.04654510321877711,0.7261879729368282,153.59719823698,-28.94072890120804
