count,prob_bare,prob_built,prob_crops,prob_flooded,prob_grass,prob_shrub,prob_trees,prob_water,area_bare,lon,lat
82,0.04305530891453379,0.0380432899341617,0.1423640214676088,0.04910308164710823,0.41133610207984656,0.1412617324457269,0.07197047069954371,0.03652736912342973,73278.46555006535,153.5235795489508,-28.860866933025974
836,0.03156992353461141,0.03180789678052805,0.07444593001884085,0.05179662129424917,0.1974461659609387,0.07557626595098331,0.44715088296896055,0.04171914357745926,73280.2991232478,153.54178911842502,-28.85826556594029
0,0.0312444788098574,0.0312124717979496,0.0356972107695619,0.02924487643345694,0.03059698789810643,0.02908435460741058,0.7465535072746065,0.03356286276534942,73351.69065779909,153.52878228314947,-28.756812250106545
0,0.03431686394003833,0.02278646220101597,0.02796091228135965,0.04560385327966771,0.02495880879042872,0.03038626873114075,0.04313599888639411,0.7415187188261891,73326.08937752985,153.6094246620704,-28.79323138921574
0,0.03661585019332344,0.02193636627629325,0.02819289857699715,0.0454424601546793,0.02486275145824151,0.03157194923418606,0.04426803489925879,0.7366809464490295,73338.89372180517,153.6120260293168,-28.775021820001623
1,0.03992856825007292,0.0205083033211498,0.02892561014243638,0.0446463136062807,0.0244418769238735,0.03392406395373769,0.04646358961576035,0.72749777489037315,73318.76928278353,153.6302355987807,-28.80363685755516
945,0.03265828670933277,0.03077250274512472,0.06756113085617117,0.04160780275854336,0.23367631403369188,0.09682195583349942,0.4160258187541632,0.03518158644659903,73283.96581875344,153.53658638428792,-28.853062831915107
0,0.02953936591762047,0.10277261869108832,0.10170293439961084,0.04100471699466646,0.47099646650361554,0.08616172945967365,0.06193205307611466,0.03486167557882829,73337.06498331664,153.54178911843036,-28.77762318672488
9,0.1724801323164143,0.04149739262979894,0.04246717177673843,0.05399028843264387,0.03609362798438852,0.05117053113422824,0.05204256913084865,0.41598734546459337,73291.29739689431,153.60682329517647,-28.842657363505896
0,0.04005705700648308,0.02050676104497741,0.02897913187527866,0.04455250332030949,0.02447689010981597,0.03379345433155592,0.04644223670865814,0.7276884693850593,73315.10832909249,153.63023559878872,-28.808839591772777
0,0.09664828951662224,0.04691904089159955,0.05460297181784596,0.12191173185629568,0.06896984871895168,0.1126794495189422,0.3363948613537914,0.06885334651097652,73247.27167818976,153.55479595384756,-28.90509017322914
544,0.0339385315059968,0.03109757978042645,0.03328508258618851,0.03187663061538745,0.03520800180902081,0.03999513510181238,0.7263013387646803,0.03637747205254474,73296.79449420556,153.59121509275496,-28.834853262292352
627,0.02956718734096659,0.03009460635077926,0.0305651527795388,0.03505245054743106,0.03234605898355534,0.03062707173114583,0.7441707294722831,0.03522772616410153,73311.446771572,153.56520142205198,-28.814042325655063
580,0.03079917863823508,0.03480988195098347,0.03936113287363935,0.11985268963573238,0.0668188137533581,0.04127766280352377,0.510812669705519,0.11103778791149656,73309.61576523368,153.58080962460207,-28.81664369308281
3,0.03215191457827158,0.03093883603710673,0.04354828745147555,0.03278726425868878,0.07647294128355742,0.06063623760029507,0.6490670602410863,0.03555002025529812,73311.4467723169,153.50536997945875,-28.81404232575852
1130,0.03406745664566797,0.02477903521686746,0.03108794396880066,0.03463006280669322,0.04372277430088807,0.05698655886717043,0.7027549835114115,0.0407746510365508,73311.44677088893,153.5469918526774,-28.814042325700992
1,0.03693447315215575,0.07876564528049555,0.06258225145485619,0.03302013100480758,0.04050096363203726,0.04170983661445033,0.6268672675991642,0.03810487475642011,73320.59953301342,153.5027686125799,-28.801035490353343
0,0.03526868378094425,0.06058680192526556,0.03689187991866324,0.02871983089599985,0.04228705009403985,0.05109134266352041,0.6789530911548197,0.03335584210538533,73285.79894011687,153.47155220755002,-28.85046146465587
0,0.03109671098353863,0.02582043840966093,0.02834210736621422,0.04553983351587087,0.02701140113007145,0.0286178116660598,0.03877753133274046,0.7449150987294283,73337.06498264876,153.60162056106518,-28.77762318681
0,0.03493119911030484,0.04497166304332645,0.04176924811786348,0.03398353143315243,0.0779376254486537,0.04603187270911491,0.6398335646210263,0.04645509242541674,73318.76928283522,153.4845590427903,-28.803636857555336
0,0.03794289108507975,0.02442906068486173,0.03379543468574422,0.04089286444799696,0.06112566591811826,0.07945939357360711,0.6402674066230711,0.0433955592186708,73353.51818744061,153.59641782683812,-28.75421088325332
3,0.03158515975949019,0.02450909282538124,0.02786129515700073,0.04638665225025708,0.02616718589924189,0.02873278826982412,0.04035750867790595,0.7448247768829698,73326.08937812569,153.60422192805066,-28.7932313891752
0,0.03739924941404272,0.0505082334658523,0.34859336233141336,0.04082357065736878,0.21934336659848297,0.07255063874338817,0.1091001031047452,0.04716810667019592,73249.10781870956,153.5079713465909,-28.902488806135484
