system:index,area_m2,.geo
"59038,-11129",73216.0341692785,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5795089409198,-28.950614096065184],[153.58211030798745,-28.950614096065184],[153.58211030798745,-28.948012728997515],[153.5795089409198,-28.948012728997515],[153.5795089409198,-28.950614096065184]]]}"
"59039,-11129",73216.03416988096,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.58211030798745,-28.950614096065184],[153.5847116750551,-28.950614096065184],[153.5847116750551,-28.948012728997515],[153.58211030798745,-28.948012728997515],[153.58211030798745,-28.950614096065184]]]}"
"59040,-11129",73216.0341700558,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5847116750551,-28.950614096065184],[153.5873130421228,-28.950614096065184],[153.5873130421228,-28.948012728997515],[153.5847116750551,-28.948012728997515],[153.5847116750551,-28.950614096065184]]]}"
"59041,-11129",73216.03416989329,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5873130421228,-28.950614096065184],[153.58991440919044,-28.950614096065184],[153.58991440919044,-28.948012728997515],[153.5873130421228,-28.948012728997515],[153.5873130421228,-28.950614096065184]]]}"
"59042,-11129",73216.03416995522,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.58991440919044,-28.950614096065184],[153.59251577625813,-28.950614096065184],[153.59251577625813,-28.948012728997515],[153.58991440919044,-28.948012728997515],[153.58991440919044,-28.950614096065184]]]}"
"59043,-11129",73216.0341699734,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.59251577625813,-28.950614096065184],[153.59511714332578,-28.950614096065184],[153.59511714332578,-28.948012728997515],[153.59251577625813,-28.948012728997515],[153.59251577625813,-28.950614096065184]]]}"
"59044,-11129",73216.0341699003,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.59511714332578,-28.950614096065184],[153.59771851039346,-28.950614096065184],[153.59771851039346,-28.948012728997515],[153.59511714332578,-28.948012728997515],[153.59511714332578,-28.950614096065184]]]}"
"59045,-11129",73216.03416976414,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.59771851039346,-28.950614096065184],[153.60031987746112,-28.950614096065184],[153.60031987746112,-28.948012728997515],[153.59771851039346,-28.948012728997515],[153.59771851039346,-28.950614096065184]]]}"
"59046,-11129",73216.03416915685,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.60031987746112,-28.950614096065184],[153.60292124452877,-28.950614096065184],[153.60292124452877,-28.948012728997515],[153.60031987746112,-28.948012728997515],[153.60031987746112,-28.950614096065184]]]}"
"59033,-11128",73217.87287882932,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.56650210558143,-28.948012728997515],[153.56910347264912,-28.948012728997515],[153.56910347264912,-28.94541136192985],[153.56650210558143,-28.94541136192985],[153.56650210558143,-28.948012728997515]]]}"
